name,ncpus,bytes/word,COPY,SCALE,ADD,TRIAD,Clock,FP-OP/clock,shared_memory,distributed_memory,Uniprocessor,Other,result_type,obsolete,type,date,link
Alliant_FX-80,8,8,72.8,71.6,76.3,76.5,11.8,1.0,Y,N,N,N,S,N,N,1993.01.23,1993/0000.html
Alliant_VFX80,3,4,23.8,23.8,25.2,25.3,25.0,1.0,Y,N,N,N,S,N,N,1992.02.25,1992/0013.html
Alliant_VFX80,3,8,41.7,41.6,43.1,43.0,25.0,1.0,Y,N,N,N,S,N,N,1992.02.25,1992/0013.html
Apollo_DN10010,1,8,41.0,48.0,54.0,54.0,25.0,1.0,N,N,Y,N,S,N,N,1991.10.03,1991/0051.html
Azul_Vega2_7280,768,8,83968.4,83223.6,90757.1,91394.2,1.0,120.0,Y,N,N,N,E,N,N,2008.01.29,2008/0001.html
Compaq_AS_GS140-6-525,1,8,524.7,700.0,615.0,817.4,525.,2.0,Y,N,N,N,S,N,N,1998.10.28,
Compaq_AlphaServer_DS10,1,8,881.1,929.9,839.9,900.9,466.,2.0,N,N,Y,N,S,Y,N,1999.05.26,1999/0026.html
Compaq_AlphaServer_DS10/DS10L,1,8,806.5,798.5,763.2,777.9,466.,2.0,N,N,Y,N,S,N,N,2000.06.28,2000/0027.html
Compaq_AlphaServer_DS10L_Linux,1,8,755.3,740.2,661.1,677.8,466.,2.0,N,N,Y,N,S,N,N,2000.04.24,2000/0008.html
Compaq_AlphaServer_DS20,1,8,1077,1244,1179,1323,500,2.0,Y,N,N,N,S,N,N,1999.01.07,1999/0000.html
Compaq_AlphaServer_DS20-667,1,8,1361.1,1285.7,1321.0,1346.6,667,2.0,Y,N,N,N,S,N,N,2001.04.18,2001/0007.html
Compaq_AlphaServer_DS20-833,1,8,1361.1,1322.3,1398.0,1426.6,833,2.0,Y,N,N,N,S,N,N,2002.02.22,2002/0004.html
Compaq_AlphaServer_DS20L-834,1,8,1218,1221,1275,1296,834,2.0,Y,N,N,N,S,N,N,2002.04.08,2002/0008.html
Compaq_AlphaServer_ES40,1,8,1004.6,1193.9,1058.6,1237.1,500.,2.0,Y,N,N,N,S,N,N,1999.05.19,1999/0023.html
Compaq_AlphaServer_ES40-6/667,4,8,2472.8,2363.3,2314.8,2369.1,667.,2.0,Y,N,N,N,S,N,N,2000.06.16,2000/0023.html
Compaq_AlphaServer_ES40-6/667,2,8,1778.8,1712.2,1798.8,1840.1,667.,2.0,Y,N,N,N,S,N,N,2000.06.16,2000/0022.html
Compaq_AlphaServer_ES40-6/667,1,8,1331.2,1249.3,1275.4,1338.5,667.,2.0,Y,N,N,N,S,N,N,2000.06.16,2000/0021.html
Compaq_AlphaServer_ES40-6/833,4,8,2504,2459,2489,2549,833.,2.0,Y,N,N,N,S,N,N,2001.04.26,2001/0011.html
Compaq_AlphaServer_ES40-6/833,2,8,1762,1700,1895,1928,833.,2.0,Y,N,N,N,S,N,N,2001.04.26,2001/0010.html
Compaq_AlphaServer_ES40-6/833,1,8,1342,1314,1370,1429,833.,2.0,Y,N,N,N,S,N,N,2001.04.26,2001/0009.html
Compaq_AlphaServer_ES45-68/1000,4,8,3486.7,3486.7,3526.8,3583.8,1000.,2.0,Y,N,N,N,S,N,N,2001.10.30,2001/0040.html
Compaq_AlphaServer_ES45-68/1000,2,8,2615.0,2592.1,2824.6,2850.0,1000.,2.0,Y,N,N,N,S,N,N,2001.10.30,2001/0040.html
Compaq_AlphaServer_ES45-68/1000,1,8,1946.0,1940.7,1978.1,1978.1,1000.,2.0,Y,N,N,N,S,N,N,2001.10.30,2001/0040.html
Compaq_AlphaServer_GS160,16,8,9796.0,9648.3,10549.5,10212.8,731.,2.0,Y,N,N,N,S,N,N,2000.05.16,2000/0014.html
Compaq_AlphaServer_GS160,4,8,2455.3,2412.1,2644.6,2564.6,731.,2.0,Y,N,N,N,S,N,N,2000.06.16,2000/0025.html
Compaq_AlphaServer_GS160,1,8,970.7,958.6,1003.5,1002.4,731.,2.0,Y,N,N,N,S,N,N,2000.06.16,2000/0024.html
Compaq_AlphaServer_GS320,32,8,19592.0,19200.1,21022.0,20425.6,731.,2.0,Y,N,N,N,S,N,N,2000.05.16,2000/0013.html
Compaq_AlphaServer_GS320-1001,32,8,21176.5,21176.5,22657.4,23309.4,1001.,2.0,Y,N,N,N,S,N,N,2001.07.17,2001/0026.html
Compaq_AlphaServer_GS320-1001,16,8,10971.5,11034.5,11707.4,12100.9,1001.,2.0,Y,N,N,N,S,N,N,2001.07.17,2001/0025.html
Compaq_AlphaServer_GS320-1001,8,8,5461.6,5358.5,5795.9,5795.9,1001.,2.0,Y,N,N,N,S,N,N,2001.07.17,2001/0024.html
Compaq_AlphaServer_GS320-1001,4,8,2740.8,2690.9,2902.0,2883.1,1001.,2.0,Y,N,N,N,S,N,N,2001.07.17,2001/0023.html
Compaq_AlphaServer_GS320-1001,1,8,1129.1,1110.9,1174.0,1148.0,1001.,2.0,Y,N,N,N,S,N,N,2001.07.17,2001/0022.html
Compaq_AlphaServer_GS80,8,8,4898.0,4800.0,5255.5,5133.7,731.,2.0,Y,N,N,N,S,N,N,2000.12.04,2000/0037.html
Compaq_XP1000,1,8,900.2,971.2,917.3,967.7,500.,2.0,N,N,Y,N,S,N,N,1999.05.24,1999/0025.html
Convex_C1XP,1,4,62.9,62.5,64.4,64.5,20.0,1.0,N,N,Y,N,S,N,N,1991.10.02,1991/0036.html
Convex_C1XP,1,8,71.3,71.0,71.3,71.3,20.0,1.0,N,N,Y,N,S,N,N,1991.10.02,1991/0036.html
Convex_C3210,1,4,93.4,92.2,108.9,109.0,25.0,1.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3210,1,8,180.1,179.4,181.4,180.8,25.0,1.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3220,2,4,178.7,177.5,211.0,208.8,25.0,1.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3220,2,8,334.3,333.0,337.3,336.5,25.0,1.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3410,1,4,155.5,150.9,157.1,154.4,50.0,2.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3410,1,8,177.6,172.5,179.0,178.4,50.0,2.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3420,2,4,242.7,238.8,263.7,260.0,50.0,2.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3420,2,8,289.1,273.1,302.7,300.3,50.0,2.0,Y,N,N,N,S,N,N,1991.10.29,
Convex_C3880,4,8,0.0,1244.6,0.0,0.0,60.0,2.0,Y,N,N,N,S,N,N,1995.10.26,
